dnt,Temp,Pressure,Humidnity,IAQ
09-Oct-2023 08:05:08,33.1,100465,74.68,60.81
09-Oct-2023 08:05:11,33.17,100465,73.09,85.97
09-Oct-2023 08:05:15,33.36,100465,72.22,86.42
09-Oct-2023 08:05:18,33.51,100466,71.47,86.73
09-Oct-2023 08:05:21,33.57,100466,70.72,87.06
09-Oct-2023 08:05:25,33.94,100460,72.36,87.12
09-Oct-2023 08:05:28,34.37,100461,74.6,85.69
09-Oct-2023 08:05:32,34.29,100461,71.67,86.26
09-Oct-2023 08:05:35,34.21,100461,69.87,87.27
09-Oct-2023 08:05:38,34.18,100461,68.97,87.78
09-Oct-2023 08:05:46,34.46,100462,67.87,88.06
09-Oct-2023 08:05:49,34.25,100461,67.69,88.44
09-Oct-2023 08:05:52,34.21,100461,67.66,88.47
09-Oct-2023 08:05:56,34.2,100461,67.62,88.48
09-Oct-2023 08:05:59,34.18,100462,67.57,88.51
09-Oct-2023 08:06:02,34.13,100461,67.54,88.52
09-Oct-2023 08:06:06,34.12,100462,67.55,88.52
09-Oct-2023 08:06:09,34.14,100463,67.54,88.52
09-Oct-2023 08:06:13,34.14,100462,67.48,88.54
09-Oct-2023 08:06:16,34.14,100462,67.44,88.56
09-Oct-2023 08:06:23,34.48,100460,67.08,88.57
09-Oct-2023 08:06:27,34.32,100462,67.07,88.73
09-Oct-2023 08:06:30,34.3,100461,67.08,88.72
09-Oct-2023 08:06:33,34.29,100461,67.06,88.72
09-Oct-2023 08:06:37,34.31,100463,67.07,88.73
09-Oct-2023 08:06:40,34.32,100462,67,88.74
09-Oct-2023 08:06:44,34.33,100461,66.92,88.77
09-Oct-2023 08:06:47,34.33,100462,66.88,88.8
09-Oct-2023 08:06:50,34.34,100462,66.83,88.81
09-Oct-2023 08:06:54,34.33,100463,66.79,88.83
09-Oct-2023 08:07:01,34.63,100461,66.44,88.85
09-Oct-2023 08:07:04,34.45,100460,66.45,88.99
09-Oct-2023 08:07:08,34.43,100462,66.48,88.97
09-Oct-2023 08:07:11,34.43,100461,66.47,88.97
09-Oct-2023 08:07:14,34.4,100462,66.47,88.97
09-Oct-2023 08:07:18,34.39,100462,66.47,88.97
09-Oct-2023 08:07:21,34.36,100462,66.49,88.97
09-Oct-2023 08:07:25,34.34,100464,66.51,88.96
09-Oct-2023 08:07:28,34.34,100464,66.54,88.95
09-Oct-2023 08:07:31,34.34,100464,66.51,88.95
09-Oct-2023 08:07:39,34.6,100462,66.29,88.96
09-Oct-2023 08:07:42,34.43,100463,66.3,89.05
09-Oct-2023 08:07:45,34.41,100463,66.37,89.03
09-Oct-2023 08:07:49,34.38,100463,66.37,89.02
09-Oct-2023 08:07:52,34.35,100466,66.42,89
09-Oct-2023 08:07:56,34.33,100464,66.48,88.98
09-Oct-2023 08:07:59,34.33,100466,66.48,88.97
09-Oct-2023 08:08:02,34.36,100466,66.5,88.96
09-Oct-2023 08:08:06,34.38,100465,66.47,88.97
09-Oct-2023 08:08:09,34.4,100465,66.48,88.98
09-Oct-2023 08:08:16,34.71,100465,66.1,88.99
09-Oct-2023 08:08:19,34.51,100463,66.09,89.14
09-Oct-2023 08:08:23,34.46,100464,66.17,89.1
09-Oct-2023 08:08:26,34.44,100464,66.23,89.09
09-Oct-2023 08:08:30,34.43,100465,66.24,89.07
09-Oct-2023 08:08:33,34.41,100464,66.27,89.07
09-Oct-2023 08:08:36,34.4,100465,66.32,89.04
09-Oct-2023 08:08:40,34.39,100466,66.33,89.03
09-Oct-2023 08:08:43,34.4,100466,66.36,89.02
09-Oct-2023 08:08:47,34.4,100466,66.36,89.02
09-Oct-2023 08:08:54,34.72,100465,66.05,89.02
09-Oct-2023 08:08:57,34.52,100464,66.09,89.15
09-Oct-2023 08:09:00,34.49,100464,66.16,89.11
09-Oct-2023 08:09:04,34.48,100465,66.15,89.11
09-Oct-2023 08:09:07,34.46,100466,66.16,89.11
09-Oct-2023 08:09:11,34.46,100466,66.18,89.1
09-Oct-2023 08:09:14,34.46,100466,66.2,89.09
09-Oct-2023 08:09:18,34.48,100466,66.21,89.09
09-Oct-2023 08:09:21,34.49,100465,66.22,89.08
09-Oct-2023 08:09:25,34.49,100466,66.17,89.09
09-Oct-2023 08:09:31,34.76,100467,65.9,89.1
09-Oct-2023 08:09:35,34.58,100466,65.91,89.21
09-Oct-2023 08:09:38,34.54,100466,65.99,89.19
09-Oct-2023 08:09:42,34.57,100466,66.02,89.16
09-Oct-2023 08:09:45,34.57,100465,66,89.17
09-Oct-2023 08:09:48,34.57,100467,66,89.17
09-Oct-2023 08:09:52,34.6,100466,65.98,89.17
09-Oct-2023 08:09:55,34.63,100466,65.95,89.18
09-Oct-2023 08:09:59,34.65,100466,65.86,89.21
09-Oct-2023 08:10:02,34.65,100467,65.85,89.23
09-Oct-2023 08:10:09,34.91,100467,65.55,89.25
09-Oct-2023 08:10:13,34.71,100467,65.62,89.35
09-Oct-2023 08:10:16,34.67,100467,65.69,89.31
09-Oct-2023 08:10:19,34.65,100467,65.71,89.29
09-Oct-2023 08:10:23,34.64,100466,65.76,89.28
09-Oct-2023 08:10:26,34.61,100466,65.77,89.27
09-Oct-2023 08:10:30,34.61,100466,65.8,89.25
09-Oct-2023 08:10:33,34.65,100468,65.79,89.25
09-Oct-2023 08:10:36,34.69,100467,65.77,89.25
09-Oct-2023 08:10:40,34.72,100468,65.7,89.28
09-Oct-2023 08:10:47,35.04,100467,65.23,89.3
09-Oct-2023 08:10:50,34.85,100468,65.23,89.5
09-Oct-2023 08:10:54,34.84,100468,65.29,89.48
09-Oct-2023 08:10:57,34.85,100467,65.26,89.46
09-Oct-2023 08:11:00,34.86,100467,65.23,89.48
09-Oct-2023 08:11:04,34.88,100468,65.17,89.5
09-Oct-2023 08:11:07,34.88,100467,65.13,89.53
09-Oct-2023 08:11:11,34.9,100468,65.08,89.54
09-Oct-2023 08:11:14,34.92,100467,65.05,89.56
09-Oct-2023 08:11:17,34.94,100468,65.03,89.57
09-Oct-2023 08:11:24,35.29,100469,64.56,89.58
09-Oct-2023 08:11:28,35.12,100469,64.55,89.78
09-Oct-2023 08:11:31,35.09,100470,64.55,89.78
09-Oct-2023 08:11:35,35.08,100469,64.53,89.78
09-Oct-2023 08:11:38,35.05,100469,64.54,89.78
09-Oct-2023 08:11:41,35.07,100469,64.54,89.77
09-Oct-2023 08:11:45,35.09,100469,64.53,89.77
09-Oct-2023 08:11:48,35.11,100469,64.48,89.79
09-Oct-2023 08:11:52,35.12,100470,64.46,89.8
09-Oct-2023 08:11:55,35.14,100469,64.43,89.81
09-Oct-2023 08:12:02,35.45,100471,64.02,89.84
09-Oct-2023 08:12:06,35.26,100471,64.01,90.01
