Date,Temp,Pressure,Humidnity,IAQ
9-Oct-90,33.1,100465,74.68,60.81
10-Oct-90,33.17,100465,73.09,85.97
11-Oct-90,33.36,100465,72.22,86.42
12-Oct-90,33.51,100466,71.47,86.73
13-Oct-90,33.57,100466,70.72,87.06
14-Oct-90,33.94,100460,72.36,87.12
15-Oct-90,34.37,100461,74.6,85.69
16-Oct-90,34.29,100461,71.67,86.26
17-Oct-90,34.21,100461,69.87,87.27
18-Oct-90,34.18,100461,68.97,87.78
19-Oct-90,34.46,100462,67.87,88.06
20-Oct-90,34.25,100461,67.69,88.44
21-Oct-90,34.21,100461,67.66,88.47
22-Oct-90,34.2,100461,67.62,88.48
23-Oct-90,34.18,100462,67.57,88.51
24-Oct-90,34.13,100461,67.54,88.52
25-Oct-90,34.12,100462,67.55,88.52
26-Oct-90,34.14,100463,67.54,88.52
27-Oct-90,34.14,100462,67.48,88.54
28-Oct-90,34.14,100462,67.44,88.56
29-Oct-90,34.48,100460,67.08,88.57
30-Oct-90,34.32,100462,67.07,88.73
31-Oct-90,34.3,100461,67.08,88.72
1-Nov-90,34.29,100461,67.06,88.72
2-Nov-90,34.31,100463,67.07,88.73
3-Nov-90,34.32,100462,67,88.74
4-Nov-90,34.33,100461,66.92,88.77
5-Nov-90,34.33,100462,66.88,88.8
6-Nov-90,34.34,100462,66.83,88.81
7-Nov-90,34.33,100463,66.79,88.83
8-Nov-90,34.63,100461,66.44,88.85
9-Nov-90,34.45,100460,66.45,88.99
10-Nov-90,34.43,100462,66.48,88.97
11-Nov-90,34.43,100461,66.47,88.97
12-Nov-90,34.4,100462,66.47,88.97
13-Nov-90,34.39,100462,66.47,88.97
14-Nov-90,34.36,100462,66.49,88.97
15-Nov-90,34.34,100464,66.51,88.96
16-Nov-90,34.34,100464,66.54,88.95
17-Nov-90,34.34,100464,66.51,88.95
18-Nov-90,34.6,100462,66.29,88.96
19-Nov-90,34.43,100463,66.3,89.05
20-Nov-90,34.41,100463,66.37,89.03
21-Nov-90,34.38,100463,66.37,89.02
22-Nov-90,34.35,100466,66.42,89
23-Nov-90,34.33,100464,66.48,88.98
24-Nov-90,34.33,100466,66.48,88.97
25-Nov-90,34.36,100466,66.5,88.96
26-Nov-90,34.38,100465,66.47,88.97
27-Nov-90,34.4,100465,66.48,88.98
28-Nov-90,34.71,100465,66.1,88.99
29-Nov-90,34.51,100463,66.09,89.14
30-Nov-90,34.46,100464,66.17,89.1
1-Dec-90,34.44,100464,66.23,89.09
2-Dec-90,34.43,100465,66.24,89.07
3-Dec-90,34.41,100464,66.27,89.07
4-Dec-90,34.4,100465,66.32,89.04
5-Dec-90,34.39,100466,66.33,89.03
6-Dec-90,34.4,100466,66.36,89.02
7-Dec-90,34.4,100466,66.36,89.02
8-Dec-90,34.72,100465,66.05,89.02
9-Dec-90,34.52,100464,66.09,89.15
10-Dec-90,34.49,100464,66.16,89.11
11-Dec-90,34.48,100465,66.15,89.11
12-Dec-90,34.46,100466,66.16,89.11
13-Dec-90,34.46,100466,66.18,89.1
14-Dec-90,34.46,100466,66.2,89.09
15-Dec-90,34.48,100466,66.21,89.09
16-Dec-90,34.49,100465,66.22,89.08
17-Dec-90,34.49,100466,66.17,89.09
18-Dec-90,34.76,100467,65.9,89.1
19-Dec-90,34.58,100466,65.91,89.21
20-Dec-90,34.54,100466,65.99,89.19
21-Dec-90,34.57,100466,66.02,89.16
22-Dec-90,34.57,100465,66,89.17
23-Dec-90,34.57,100467,66,89.17
24-Dec-90,34.6,100466,65.98,89.17
25-Dec-90,34.63,100466,65.95,89.18
26-Dec-90,34.65,100466,65.86,89.21
27-Dec-90,34.65,100467,65.85,89.23
28-Dec-90,34.91,100467,65.55,89.25
29-Dec-90,34.71,100467,65.62,89.35
30-Dec-90,34.67,100467,65.69,89.31
31-Dec-90,34.65,100467,65.71,89.29
1-Jan-91,34.64,100466,65.76,89.28
2-Jan-91,34.61,100466,65.77,89.27
3-Jan-91,34.61,100466,65.8,89.25
4-Jan-91,34.65,100468,65.79,89.25
5-Jan-91,34.69,100467,65.77,89.25
6-Jan-91,34.72,100468,65.7,89.28
7-Jan-91,35.04,100467,65.23,89.3
8-Jan-91,34.85,100468,65.23,89.5
9-Jan-91,34.84,100468,65.29,89.48
10-Jan-91,34.85,100467,65.26,89.46
11-Jan-91,34.86,100467,65.23,89.48
12-Jan-91,34.88,100468,65.17,89.5
13-Jan-91,34.88,100467,65.13,89.53
14-Jan-91,34.9,100468,65.08,89.54
15-Jan-91,34.92,100467,65.05,89.56
16-Jan-91,34.94,100468,65.03,89.57
17-Jan-91,35.29,100469,64.56,89.58
18-Jan-91,35.12,100469,64.55,89.78
19-Jan-91,35.09,100470,64.55,89.78
20-Jan-91,35.08,100469,64.53,89.78
21-Jan-91,35.05,100469,64.54,89.78
22-Jan-91,35.07,100469,64.54,89.77
23-Jan-91,35.09,100469,64.53,89.77
24-Jan-91,35.11,100469,64.48,89.79
25-Jan-91,35.12,100470,64.46,89.8
26-Jan-91,35.14,100469,64.43,89.81
27-Jan-91,35.45,100471,64.02,89.84
28-Jan-91,35.26,100471,64.01,90.01
29-Jan-91,35.24,100470,64.08,89.98
30-Jan-91,35.25,100470,64.07,89.97
31-Jan-91,35.26,100470,64.03,89.98
1-Feb-91,35.27,100470,64.01,90
2-Feb-91,35.28,100471,63.97,90.01
3-Feb-91,35.29,100471,63.93,90.02
4-Feb-91,35.3,100472,63.89,90.04
5-Feb-91,35.31,100472,63.88,90.05
6-Feb-91,35.64,100473,63.53,90.05
7-Feb-91,35.45,100472,63.52,90.21
8-Feb-91,35.43,100473,63.54,90.2
9-Feb-91,35.41,100472,63.47,90.2
10-Feb-91,35.39,100472,63.45,90.23
11-Feb-91,35.39,100473,63.43,90.23
12-Feb-91,35.41,100472,63.41,90.24
13-Feb-91,35.44,100472,63.39,90.25
14-Feb-91,35.45,100473,63.37,90.26
15-Feb-91,35.47,100472,63.33,90.27
16-Feb-91,35.79,100474,62.91,90.29
17-Feb-91,35.59,100474,62.94,90.47
18-Feb-91,35.57,100473,63,90.43
19-Feb-91,35.58,100474,62.98,90.42
20-Feb-91,35.57,100474,62.95,90.43
21-Feb-91,35.58,100474,62.94,90.44
22-Feb-91,35.59,100474,62.97,90.44
23-Feb-91,35.6,100473,62.97,90.43
24-Feb-91,35.6,100473,62.95,90.43
25-Feb-91,35.62,100474,62.96,90.44
26-Feb-91,35.95,100475,62.57,90.45
27-Feb-91,35.76,100475,62.54,90.62
28-Feb-91,35.73,100474,62.57,90.59
1-Mar-91,35.73,100474,62.62,90.58
2-Mar-91,35.72,100473,62.65,90.57
3-Mar-91,35.73,100474,62.65,90.56
4-Mar-91,35.75,100475,62.61,90.57
5-Mar-91,35.78,100476,62.54,90.6
6-Mar-91,35.79,100476,62.51,90.62
7-Mar-91,35.8,100476,62.45,90.64
8-Mar-91,36.14,100474,62.05,90.66
9-Mar-91,35.97,100476,62.03,90.83
10-Mar-91,35.93,100475,62.04,90.81
11-Mar-91,35.92,100477,62.03,90.82
12-Mar-91,35.92,100477,62.01,90.83
13-Mar-91,35.92,100476,62.03,90.83
14-Mar-91,35.92,100476,62.01,90.83
15-Mar-91,35.92,100474,61.99,90.83
16-Mar-91,35.93,100477,62,90.84
17-Mar-91,35.95,100475,61.97,90.84
18-Mar-91,36.25,100475,61.59,90.86
19-Mar-91,36.05,100474,61.58,91.02
20-Mar-91,36,100476,61.64,91
21-Mar-91,36,100475,61.7,90.97
22-Mar-91,36,100476,61.69,90.96
