Time,Temp,Pressure,Humidnity,IAQ
12:00:20 AM,33.1,100465,74.68,60.81
1:00:20 AM,33.17,100465,73.09,85.97
2:00:20 AM,33.36,100465,72.22,86.42
3:00:20 AM,33.51,100466,71.47,86.73
4:00:20 AM,33.57,100466,70.72,87.06
5:00:20 AM,33.94,100460,72.36,87.12
6:00:20 AM,34.37,100461,74.6,85.69
7:00:20 AM,34.29,100461,71.67,86.26
8:00:20 AM,34.21,100461,69.87,87.27
9:00:20 AM,34.18,100461,68.97,87.78
10:00:20 AM,34.46,100462,67.87,88.06
11:00:20 AM,34.25,100461,67.69,88.44
12:00:20 PM,34.21,100461,67.66,88.47
1:00:20 PM,34.2,100461,67.62,88.48
2:00:20 PM,34.18,100462,67.57,88.51
3:00:20 PM,34.13,100461,67.54,88.52
4:00:20 PM,34.12,100462,67.55,88.52
5:00:20 PM,34.14,100463,67.54,88.52
6:00:20 PM,34.14,100462,67.48,88.54
7:00:20 PM,34.14,100462,67.44,88.56
8:00:20 PM,34.48,100460,67.08,88.57
9:00:20 PM,34.32,100462,67.07,88.73
10:00:20 PM,34.3,100461,67.08,88.72
11:00:20 PM,34.29,100461,67.06,88.72
12:00:20 AM,34.31,100463,67.07,88.73
1:00:20 AM,34.32,100462,67,88.74
2:00:20 AM,34.33,100461,66.92,88.77
3:00:20 AM,34.33,100462,66.88,88.8
4:00:20 AM,34.34,100462,66.83,88.81
5:00:20 AM,34.33,100463,66.79,88.83
6:00:20 AM,34.63,100461,66.44,88.85
7:00:20 AM,34.45,100460,66.45,88.99
8:00:20 AM,34.43,100462,66.48,88.97
9:00:20 AM,34.43,100461,66.47,88.97
10:00:20 AM,34.4,100462,66.47,88.97
11:00:20 AM,34.39,100462,66.47,88.97
12:00:20 PM,34.36,100462,66.49,88.97
1:00:20 PM,34.34,100464,66.51,88.96
2:00:20 PM,34.34,100464,66.54,88.95
3:00:20 PM,34.34,100464,66.51,88.95
4:00:20 PM,34.6,100462,66.29,88.96
5:00:20 PM,34.43,100463,66.3,89.05
6:00:20 PM,34.41,100463,66.37,89.03
7:00:20 PM,34.38,100463,66.37,89.02
8:00:20 PM,34.35,100466,66.42,89
9:00:20 PM,34.33,100464,66.48,88.98
10:00:20 PM,34.33,100466,66.48,88.97
11:00:20 PM,34.36,100466,66.5,88.96
12:00:20 AM,34.38,100465,66.47,88.97
1:00:20 AM,34.4,100465,66.48,88.98
2:00:20 AM,34.71,100465,66.1,88.99
3:00:20 AM,34.51,100463,66.09,89.14
4:00:20 AM,34.46,100464,66.17,89.1
5:00:20 AM,34.44,100464,66.23,89.09
6:00:20 AM,34.43,100465,66.24,89.07
7:00:20 AM,34.41,100464,66.27,89.07
8:00:20 AM,34.4,100465,66.32,89.04
9:00:20 AM,34.39,100466,66.33,89.03
10:00:20 AM,34.4,100466,66.36,89.02
11:00:20 AM,34.4,100466,66.36,89.02
12:00:20 PM,34.72,100465,66.05,89.02
1:00:20 PM,34.52,100464,66.09,89.15
2:00:20 PM,34.49,100464,66.16,89.11
3:00:20 PM,34.48,100465,66.15,89.11
4:00:20 PM,34.46,100466,66.16,89.11
5:00:20 PM,34.46,100466,66.18,89.1
6:00:20 PM,34.46,100466,66.2,89.09
7:00:20 PM,34.48,100466,66.21,89.09
8:00:20 PM,34.49,100465,66.22,89.08
9:00:20 PM,34.49,100466,66.17,89.09
10:00:20 PM,34.76,100467,65.9,89.1
11:00:20 PM,34.58,100466,65.91,89.21
12:00:20 AM,34.54,100466,65.99,89.19
1:00:20 AM,34.57,100466,66.02,89.16
2:00:20 AM,34.57,100465,66,89.17
3:00:20 AM,34.57,100467,66,89.17
4:00:20 AM,34.6,100466,65.98,89.17
5:00:20 AM,34.63,100466,65.95,89.18
6:00:20 AM,34.65,100466,65.86,89.21
7:00:20 AM,34.65,100467,65.85,89.23
8:00:20 AM,34.91,100467,65.55,89.25
9:00:20 AM,34.71,100467,65.62,89.35
10:00:20 AM,34.67,100467,65.69,89.31
11:00:20 AM,34.65,100467,65.71,89.29
12:00:20 PM,34.64,100466,65.76,89.28
1:00:20 PM,34.61,100466,65.77,89.27
2:00:20 PM,34.61,100466,65.8,89.25
3:00:20 PM,34.65,100468,65.79,89.25
4:00:20 PM,34.69,100467,65.77,89.25
5:00:20 PM,34.72,100468,65.7,89.28
6:00:20 PM,35.04,100467,65.23,89.3
7:00:20 PM,34.85,100468,65.23,89.5
8:00:20 PM,34.84,100468,65.29,89.48
9:00:20 PM,34.85,100467,65.26,89.46
10:00:20 PM,34.86,100467,65.23,89.48
11:00:20 PM,34.88,100468,65.17,89.5
12:00:20 AM,34.88,100467,65.13,89.53
1:00:20 AM,34.9,100468,65.08,89.54
2:00:20 AM,34.92,100467,65.05,89.56
3:00:20 AM,34.94,100468,65.03,89.57
4:00:20 AM,35.29,100469,64.56,89.58
5:00:20 AM,35.12,100469,64.55,89.78
6:00:20 AM,35.09,100470,64.55,89.78
7:00:20 AM,35.08,100469,64.53,89.78
8:00:20 AM,35.05,100469,64.54,89.78
9:00:20 AM,35.07,100469,64.54,89.77
10:00:20 AM,35.09,100469,64.53,89.77
11:00:20 AM,35.11,100469,64.48,89.79
12:00:20 PM,35.12,100470,64.46,89.8
1:00:20 PM,35.14,100469,64.43,89.81
2:00:20 PM,35.45,100471,64.02,89.84
3:00:20 PM,35.26,100471,64.01,90.01
4:00:20 PM,35.24,100470,64.08,89.98
5:00:20 PM,35.25,100470,64.07,89.97
6:00:20 PM,35.26,100470,64.03,89.98
7:00:20 PM,35.27,100470,64.01,90
8:00:20 PM,35.28,100471,63.97,90.01
9:00:20 PM,35.29,100471,63.93,90.02
10:00:20 PM,35.3,100472,63.89,90.04
11:00:20 PM,35.31,100472,63.88,90.05
12:00:20 AM,35.64,100473,63.53,90.05
1:00:20 AM,35.45,100472,63.52,90.21
2:00:20 AM,35.43,100473,63.54,90.2
3:00:20 AM,35.41,100472,63.47,90.2
4:00:20 AM,35.39,100472,63.45,90.23
5:00:20 AM,35.39,100473,63.43,90.23
6:00:20 AM,35.41,100472,63.41,90.24
7:00:20 AM,35.44,100472,63.39,90.25
8:00:20 AM,35.45,100473,63.37,90.26
9:00:20 AM,35.47,100472,63.33,90.27
10:00:20 AM,35.79,100474,62.91,90.29
11:00:20 AM,35.59,100474,62.94,90.47
12:00:20 PM,35.57,100473,63,90.43
1:00:20 PM,35.58,100474,62.98,90.42
2:00:20 PM,35.57,100474,62.95,90.43
3:00:20 PM,35.58,100474,62.94,90.44
